value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR,Deciles,Geographical area
7.54823,26,8620,,Latin America (simple average),2012,Decile 6,Urban
9.20886,26,8620,,Latin America (simple average),2012,Decile 7,Urban
11.63673,26,8620,,Latin America (simple average),2012,Decile 8,Urban
15.93,26,8620,,Latin America (simple average),2012,Decile 9,Urban
1.53462,26,8620,,Latin America (simple average),2013,Decile 1,National
36.85589,26,8620,,Latin America (simple average),2013,Decile 10,National
2.81834,26,8620,,Latin America (simple average),2013,Decile 2,National
3.81731,26,8620,,Latin America (simple average),2013,Decile 3,National
4.8435,26,8620,,Latin America (simple average),2013,Decile 4,National
5.96978,26,8620,,Latin America (simple average),2013,Decile 5,National
7.35419,26,8620,,Latin America (simple average),2013,Decile 6,National
9.09713,26,8620,,Latin America (simple average),2013,Decile 7,National
11.60738,26,8620,,Latin America (simple average),2013,Decile 8,National
16.10186,26,8620,,Latin America (simple average),2013,Decile 9,National
1.80079,26,8620,,Latin America (simple average),2013,Decile 1,Rural
34.86773,26,8620,,Latin America (simple average),2013,Decile 10,Rural
3.13342,26,8620,,Latin America (simple average),2013,Decile 2,Rural
4.16213,26,8620,,Latin America (simple average),2013,Decile 3,Rural
5.1821,26,8620,,Latin America (simple average),2013,Decile 4,Rural
6.31921,26,8620,,Latin America (simple average),2013,Decile 5,Rural
7.66579,26,8620,,Latin America (simple average),2013,Decile 6,Rural
9.3969,26,8620,,Latin America (simple average),2013,Decile 7,Rural
11.83237,26,8620,,Latin America (simple average),2013,Decile 8,Rural
15.63955,26,8620,,Latin America (simple average),2013,Decile 9,Rural
1.81487,26,8620,,Latin America (simple average),2013,Decile 1,Urban
35.3417,26,8620,,Latin America (simple average),2013,Decile 10,Urban
3.15384,26,8620,,Latin America (simple average),2013,Decile 2,Urban
4.13628,26,8620,,Latin America (simple average),2013,Decile 3,Urban
5.12011,26,8620,,Latin America (simple average),2013,Decile 4,Urban
6.17338,26,8620,,Latin America (simple average),2013,Decile 5,Urban
7.50854,26,8620,,Latin America (simple average),2013,Decile 6,Urban
9.16403,26,8620,,Latin America (simple average),2013,Decile 7,Urban
11.61754,26,8620,,Latin America (simple average),2013,Decile 8,Urban
15.96971,26,8620,,Latin America (simple average),2013,Decile 9,Urban
1.62422,26,8620,,Latin America (simple average),2014,Decile 1,National
36.25467,26,8620,,Latin America (simple average),2014,Decile 10,National
2.90114,26,8620,,Latin America (simple average),2014,Decile 2,National
3.92318,26,8620,,Latin America (simple average),2014,Decile 3,National
