value,source_id,notes_ids,iso3,Country__ESTANDAR,Years__ESTANDAR
1.38,77,,NIC,Nicaragua,2012
2.23,77,,PAN,Panama,2012
1.38,77,,PRY,Paraguay,2012
2.23,77,,PER,Peru,2012
1.38,77,,KNA,Saint Kitts and Nevis,2012
2.23,77,,LCA,Saint Lucia,2012
1.38,77,,SUR,Suriname,2012
2.23,77,,TTO,Trinidad and Tobago,2012
1.38,77,,URY,Uruguay,2012
2.23,77,,VEN,Venezuela (Bolivarian Republic of),2012
1.45,77,,ARG,Argentina,2013
2.23,77,,BHS,Bahamas,2013
1.45,77,,BRB,Barbados,2013
2.23,77,,BLZ,Belize,2013
1.45,77,,BOL,Bolivia (Plurinational State of),2013
2.23,77,,BRA,Brazil,2013
1.45,77,,CHL,Chile,2013
2.23,77,,COL,Colombia,2013
1.45,77,,CRI,Costa Rica,2013
2.23,77,,CUB,Cuba,2013
1.45,77,,DOM,Dominican Republic,2013
2.23,77,,ECU,Ecuador,2013
1.45,77,,SLV,El Salvador,2013
2.23,77,,GUY,Guyana,2013
1.45,77,,HTI,Haiti,2013
2.23,77,,HND,Honduras,2013
1.45,77,,JAM,Jamaica,2013
2.23,77,,MEX,Mexico,2013
1.45,77,,NIC,Nicaragua,2013
2.23,77,,PAN,Panama,2013
1.45,77,,PRY,Paraguay,2013
2.23,77,,PER,Peru,2013
1.45,77,,KNA,Saint Kitts and Nevis,2013
2.23,77,,LCA,Saint Lucia,2013
1.45,77,,SUR,Suriname,2013
2.23,77,,TTO,Trinidad and Tobago,2013
1.45,77,,URY,Uruguay,2013
2.23,77,,VEN,Venezuela (Bolivarian Republic of),2013
1.51,77,,ARG,Argentina,2014
2.21,77,,BHS,Bahamas,2014
1.51,77,,BRB,Barbados,2014
2.21,77,,BLZ,Belize,2014
1.51,77,,BOL,Bolivia (Plurinational State of),2014
2.21,77,,BRA,Brazil,2014
1.51,77,,CHL,Chile,2014
2.21,77,,COL,Colombia,2014
1.51,77,,CRI,Costa Rica,2014
2.21,77,,CUB,Cuba,2014
1.51,77,,DOM,Dominican Republic,2014
2.21,77,,ECU,Ecuador,2014
1.51,77,,SLV,El Salvador,2014
2.21,77,,GUY,Guyana,2014
1.51,77,,HTI,Haiti,2014
2.21,77,,HND,Honduras,2014
1.51,77,,JAM,Jamaica,2014
2.21,77,,MEX,Mexico,2014
1.51,77,,NIC,Nicaragua,2014
2.21,77,,PAN,Panama,2014
1.51,77,,PRY,Paraguay,2014
2.21,77,,PER,Peru,2014
1.51,77,,KNA,Saint Kitts and Nevis,2014
2.21,77,,LCA,Saint Lucia,2014
1.51,77,,SUR,Suriname,2014
2.21,77,,TTO,Trinidad and Tobago,2014
1.51,77,,URY,Uruguay,2014
2.21,77,,VEN,Venezuela (Bolivarian Republic of),2014
1.56,77,,ARG,Argentina,2015
2.27,77,,BHS,Bahamas,2015
1.56,77,,BRB,Barbados,2015
2.27,77,,BLZ,Belize,2015
1.56,77,,BOL,Bolivia (Plurinational State of),2015
2.27,77,,BRA,Brazil,2015
1.56,77,,CHL,Chile,2015
2.27,77,,COL,Colombia,2015
1.56,77,,CRI,Costa Rica,2015
2.27,77,,CUB,Cuba,2015
1.56,77,,DOM,Dominican Republic,2015
2.27,77,,ECU,Ecuador,2015
1.56,77,,SLV,El Salvador,2015
2.27,77,,GUY,Guyana,2015
1.56,77,,HTI,Haiti,2015
2.27,77,,HND,Honduras,2015
1.56,77,,JAM,Jamaica,2015
2.27,77,,MEX,Mexico,2015
1.56,77,,NIC,Nicaragua,2015
2.27,77,,PAN,Panama,2015
1.56,77,,PRY,Paraguay,2015
2.27,77,,PER,Peru,2015
1.56,77,,KNA,Saint Kitts and Nevis,2015
2.27,77,,LCA,Saint Lucia,2015
1.56,77,,SUR,Suriname,2015
2.27,77,,TTO,Trinidad and Tobago,2015
1.56,77,,URY,Uruguay,2015
2.27,77,,VEN,Venezuela (Bolivarian Republic of),2015
1.55,77,,ARG,Argentina,2016
2.36,77,,BHS,Bahamas,2016
1.55,77,,BRB,Barbados,2016
2.36,77,,BLZ,Belize,2016
1.55,77,,BOL,Bolivia (Plurinational State of),2016
2.36,77,,BRA,Brazil,2016
1.55,77,,CHL,Chile,2016
2.36,77,,COL,Colombia,2016
